title;sentiment_ml_finance
Asing Sebenarnya Tak Kabur dari RI, Tapi Lari ke Sini!;1
Dolar AS Pagi Ini Kembali Menguat ke Level Rp 15.839;2
Estafet Kepemimpinan Jokowi dan Beban Kabinet Merah Putih Prabowo;1
Simak Daftar Kurs Rupiah di 5 Bank Besar Indonesia Senin 10 Februari 2025;1
"Video: BI: Perbankan ""Nikmati"" Guyuran Likuiditas Rp 295 Triliun";1
Tok! Komisi XI DPR Setujui Anggaran BI Rp 31,49 Triliun;1
Respons Bos BI soal Sentimen Negatif Kasus Dana CSR ke Nilai Tukar Rupiah;0
BI Catat Aliran Modal Asing Masuk RI Rp 22 T, Meskipun Sempat Minggat;1
IHSG Hari Ini Kelabu, Dibuka Melemah ke 7.323;0
Likuiditas Bank Kering, 'Jantung' Ekonomi RI Bisa Berhenti Berdenyut;0
Terungkap! Ini Biang Kerok Penjualan Mobil 2024 Anjlok;0
Rumah di Gang Nggak Bisa Jadi Agunan, Mitos atau Fakta?;1
Sejarah, Harga Tiket, dan Jam Operasional Museum Bank Indonesia;1
Menilai Performa Timnas U-23 di Sepanjang Laga Piala Asia;1
Rupiah Melemah, Jokowi Panggil Menkeu, Ketua OJK, hingga Gubernur BI;0
"Bos BCA (BBCA) Berikan Sinyal Prospek Bank Sulit Berburu Dana pada 2025&nbsp;";0
Ketidakpastian Kebijakan Donald Trump Batasi Episode Penguatan Rupiah;0
Panas Pemilu AS, Octa Berikan Prediksi Usai Pemilihan Presiden;1
Dolar AS Tekuk Rupiah, Jokowi: Semua Negara Juga Tertekan!;0
IHSG Hari Ini Rebound, Naik 0,56% ke 7.297;2
Akhir Pekan Dolar AS Dibuka Menguat;2
Muncul Usulan Kakek Prabowo Dapat Gelar Pahlawan Nasional;1
Bank Indonesia Catat Capital Outflow Rp 2,49 Triliun di Pekan Pertama September 2024;1
Bikin Kaget! Dolar AS Tiba-tiba Jadi Rp 8.000-an di Google;2
Bank Danamon Cetak Laba Rp 831 M di Kuartal I-2024;1
Ternyata Ini Biang Kerok Rupiah Keok Lawan Dolar AS!;0
Unilever (UNVR) Faces Heavy Burden Ahead of 2024 Financial Report;1
IHSG Cetak Rekor Tertinggi Lagi Sejak Jokowi Reshuffle Kabinet;0
Dolar AS Gencet Rupiah ke Level Rp 16.000, Ini Respons Pemerintah;0
Ara Ungkap Keponakan Luhut Pandu Sjahrir Gabung Danantara;1
Prospek Kinerja BRI (BBRI) di Balik Upaya Perbaikan Kualitas Aset;2
BI Rate Turun Jadi 5,75%, Bunga Deposito BCA Bakal Ikut?;0
BSI Raup Laba Bersih Rp 5,11 T di Kuartal III, Melesat 21,60%;2
Dolar AS Kian Perkasa di Level Rp 15.779 Pagi Ini;0
BI: Kredit Bank per November 2024 Naik 10,79% Yoy;2
IHSG Terkoreksi di Awal Pekan, Kurs Rupiah Tembus Rp 16.400-an;0
BRI (BBRI) Cetak Laba Rp60,64 T Sepanjang 2024;1
Terungkap! Ini Biang Kerok Tiket Pesawat Mahal;1
Membaca Kemenangan Donald Trump;1
BI Tahan Suku Bunga Acuan di Level 6,25%;0
IHSG Ngamuk Naik 1,74% Sehari, Asing Terciduk Borong Saham Ini;2
Gubernur BI Buka Peluang Turunkan Suku Bunga;0
IHSG Kembali Loyo, Dibuka Ambruk 1%;0
Gas Bumi RI Masih Melimpah, Bisa Jadi Solusi buat Lepas dari Impor LPG?;2
OJK Ungkap Biang Kerok IHSG Terkoreksi Signifikan;0
Long Weekend di Depan Mata, IHSG Hari Ini Melempem;0
BTN Cetak Laba Bersih Rp 3,5 Triliun, Kredit Rumah Subsidi Mendominasi;1
USD 1 Jadi Rp 8 Ribu? Harapan Palsu yang Timbulkan Kehebohan;0
Presiden Iran Meninggal Berdampak ke Ekonomi RI? Ini Jawaban Sri Mulyani;1
IHSG Bergerak di Zona Merah Seharian, Ditutup Loyo ke 7.034;0
AS Tekor Terus, Meksiko Jadi Musuh Utama Perang Dagang Trump;0
Dolar AS Tekan Rupiah ke Level Rp 15.854;2
IHSG Diprediksi Melemah, Simak Rekomendasi Sahamnya;0
Sentimen The Fed Bikin Ketidakpastian, Asing Kabur Tinggalkan RI?;0
PBNU Soroti Nilai Tukar Rupiah, Yakin Pemerintah-DPR Mau Biaya Haji Ringan;1
Momen 100 Hari Prabowo, Sudah Ada Kebijakan Apa Saja?;1
Likuiditas Ketat Jadi Kekhawatiran para Petinggi Bank BUMN Tahun Depan;0
IHSG Hari Ini Dibuka Melemah ke 7.428;0
Bantuan Pangan hingga Program SPHP Diusulkan Mulai Tahun Depan;1
Ambruk 1% Lebih & Dekati 7.000, Target Analis: IHSG Bisa ke 7.200;1
Diluncurkan 30 September, Lembaga Ini Bisa Bikin Rupiah Berotot;1
Video: SRBI Diburu Investor, Likuiditas Perbankan Yakin Masih Aman?;1
Daftar Lengkap 48 Menteri Kabinet Merah Putih Prabowo-Gibran dan Profilnya;0
Begini Cara Kebijakan Moneter Dapat Menjaga Stabilitas Ekonomi;2
Jokowi Reshuffle Kabinet, Rupiah Terus Menguat ke Rp 15.565;2
5 Alasan BI Pangkas Suku Bunga Acuan Lebih Cepat Jadi 6%;2
Korut Diam-diam Cuci Uang di Tetangga RI, Begini Modusnya;1
Semakin Kuat dan Hebat, BRI Cetak Laba Rp60,4 Triliun;2
Dolar AS Mulai Bangkit, tapi Masih di Level Rp 15.400;0
Dolar AS Menguat Tipis, Masih Betah di Zona Rp 16.000;2
Sidang Sengketa Pilpres Usai, IHSG Terbang Tinggi;2
Erick Buka-bukaan Dampak Konflik Israel-Iran dan Dolar AS Meroket ke BUMN;2
Gara-Gara Deflasi, Rupiah Dibuka Melemah!;0
Analisis Penyebab IHSG Ambles Nyaris 2% Hingga Balik ke Level 6.800;0
Kuota FLPP Tahun Depan 220 Ribu Unit, Pengembang: Lumayan;1
Erick Tegaskan Tak Pernah Perintah PLN Cs Borong Dolar AS!;1
Global Bond BNI Laku Keras, Kelebihan Permintaan 6,4 Kali;1
Selasa Pagi IHSG Dibuka di Zona Hijau, Menguat ke Level 7.252;0
Airlangga Harap Koperasi Terus Dukung Pertumbuhan Ekonomi RI;2
Gotong Royong dan Menghidupi Kewajiban Check and Balances;1
Alert! IHSG Dibuka Langsung Terkapar, Ambruk 2% Lebih;0
Hasil-hasil Pilkada yang Sudah Terprediksi;1
"Video: Tarik Dolar Hasil Ekspor SDA, Bank Tebar ""Pemanis"" ke Eksportir";1
Bansos, Tangga Menuju Istana?;1
Pengin Beli Rumah di Gang, Bisa Pakai KPR? Ini Jawabannya;1
Dolar AS Pagi Ini Perkasa di Rp 15.814, Naik 0,23%;2
Dolar Dekati Rp 16.000, Ini 3 Penyebab Sebenarnya!;0
Rupiah Keok Lawan Dolar AS, Sri Mulyani Sebut Lebih Baik dari Ringgit & Bath;0
Bank DKI Salurkan Kredit Rp 53,18 T, Segmen UMKM Jadi Pendorong;2
Dibuka Lesu, IHSG Ditutup Perkasa;0
Ekonom UGM Ungkap Tantangan Pemerintahan Baru, Singgung soal Kemampuan Moneter;1
Megawati: Saya Ditugasi Negara Menyelesaikan BLBI, Selesai;1
Seharian di Zona Hijau, IHSG Ditutup Menguat ke Level 6.645;2
Jejak Politik BJ Habibie, Teknokrat Pemersatu Cendekiawan Muslim Indonesia;1
Presiden Indonesia dari Masa Kemerdekaan hingga Kabinet Merah Putih;1
3 Hal Ini Bikin BI Dalam Mode Waspada!;1
Dolar Menguat, Pengembang Justru Sarankan Cepat Beli Rumah, Kenapa?;0
IHSG Hari Ini Dibuka Menguat Tipis Dekati 7.100;0
IHSGAnjlok 5,16% Sepekan, Investor Kencangkan Sabuk Pengaman;2
Balik Arah, IHSG Dibuka Melemah Tipis;0
IHSG Sore Ini Ditutup di Zona Merah;1
Kemenkeu Ungkap Kasus BLBI Belit Marimutu Sinivasan hingga Mau Kabur ke Malaysia;0
Mahalnya Barang Elektronik Imbas Dolar AS yang Tinggi;0
BP Tapera Targetkan Proporsi KPR FLPP 50:50 Diterapkan pada Triwulan II;1
IHSG Dibuka Menguat Jelang Akhir Pekan, Ini Pergerakannya;2
Perang Tarif Trump Akan Dimulai, Asing Ramai-ramai Kabur dari RI;1
IHSG Hari Ini Hijau Seharian, Ditutup Menguat ke 6.967;2
Rupiah Keok Dihantam Dolar AS, Importir Wanti-wanti Bakal Ada PHK;1
Dolar AS Menguat Tipis, Rupiah Berikan Perlawan;0
Pagi Ini IHSG Dibuka Merekah di Zona Hijau;1
Kuartal III 2024, Laba Bersih BTN Tembus Rp 2,08 Triliun;2
Tok! Pertumbuhan Ekonomi Tahun Pertama Pemerintahan Prabowo Ditarget 5,2%;2
Dolar AS Tekuk Lutut Rupiah, Begini Perbandingan dengan Mata Uang Lainnya;0
Menghalau Tangis Timnas U-23 di Prancis;1
IHSG Diprediksi Melemah Jelang Akhir Pekan, Cek Rekomendasi Saham Hari Ini;0
IHSG Bergerak di Zona Merah Seharian, Ditutup Loyo ke 7.034;0
IHSG Bergerak di Dua Arah Pagi Ini;1
The Fed Turunkan Suku Bunga Jadi Angin Segar Termasuk ke RI, Ini Buktinya;0
Ekonomi Global Penuh Ketidakpastian, IHSG Longsor ke Level 6.900;0
Video: Stimulus China, The Fed Hingga Perang Bikin Cemas, Rupiah Loyo!;0
IHSG Sesi I Amblas 1,66 Persen, Intip 3 Saham yang Jadi Top Gainers LQ45;1
Video: Cadangan Devisa Turun Tajam Demi Rupiah, Ke Mana Devisa Ekspor?;0
Rupiah Letoi, Dolar AS Masih Betah di Rp 15.000-an;1
5 Contoh Formulir Pendaftaran Siswa Baru SD, SMP, hingga SMA;1
Layani UMKM, BRI Cetak Laba Rp 60,64 Triliun;1
BI Guyur Likuiditas Rp 256 T, Ini Bank yang Terima Paling Banyak;1
IHSG Cerah Usai Pengumuman Prabowo-Gibran Menang, Analis Ingatkan Drama Setelahnya;0
Kurang Bergairah, IHSG Dibuka di Zona Merah;0
Turis Indonesia Ini Menyesal Beli Nasi Kandar Rp 500 Ribu di Kuala Lumpur;0
Simak! Daftar Rekomendasi Saham Hari Ini;1
Dolar AS Kembali Menguat ke Rp 16.085;2
Heboh Google Tampilkan Rp 8.170 Per Dolar AS, BI Tegaskan Tak Akurat;1
IHSG Tenggelam di Zona Merah Seharian, Ditutup di Level 6.600;0
Rupiah Keok Jelang Natal, Dolar Naik Tipis ke Rp16.185;2
Prabowo Benar! Bumi RI Dikeruk, Dolarnya Jangan Langsung Dibawa Kabur;1
IHSG Ijo Royo-royo, Semakin Dekat ke Zona 7.700;2
Sri Mulyani Ungkap Alasan Pasang Dolar AS Rp 16.100 di RAPBN 2025;1
Antisipasi Dampak Perang Iran Vs Israel, Erick Thohir Beri Pesan Khusus ke Pertamina-PLN;1
Dolar AS Dibuka Perkasa di Level Rp 15.600-an;1
IHSG Sesi 1 Ambles 1,18%, Saham ADRO Masih Jadi Beban!;0
Bos BI Sebut RI Penerbit Sukuk Terbesar di Dunia, Tembus US$ 5 M;2
Investor Pasang Kuda-Kuda! Perang Dagang AS-China Siap Dimulai;1
Nilai Tukar Rupiah Lanjutkan Tren Menguat Terhadap Dolar AS Pekan Ini;2
OJK: Kredit Perbankan Naik 10,92% per Oktober 2024;2
Akhirnya! Tambahan Kuota Subsidi Rumah Murah Cair Minggu Depan;2
Sempat Rugi Rp 18 T, LPEI Kejar Kinerja 2024 Tumbuh Positif;0
Bitcoin Pesta Pora Tembus Rp 1,78 Miliar Saat Pelantikan Trump;2
Kaharudin Ongko Masih Berutang Rp 8,4 T, Tanah di Bintaro Disita Satgas BLBI;1
IHSG Hijau Seharian, 327 Saham Menguat;2
Trump Beri Kabar Baik, Saatnya Menunggu Dolar Eksportir Balik ke RI;1
Aliran Modal Asing Mulai Turun, Investor Pada Kabur?;0
IHSG-Rupiah Menguat Sejak Kemarin, Efek Jokowi Rombak Kabinet?;2
Turunkan NPL, Bank Ganesha Bakal Menahan Penyaluran Kredit Tahun Ini;1
Dolar AS Turun ke Level Rp 15.829 Hari Ini;0
Tertarik Trading Aset Kripto? Baca Tips Ini Dulu Biar Ga Nyesel;1
